# entries=575503 taxon=9606 taxon_entries=20431
database	id_type	n_proteins	n_distinct_terms	proteins_per_term	example
KW		20431	720	28.38	3D-structure
EMBL		20416	132708	0.15	X57346
Proteomes		20416	1	20416.00	UP000005640
PAN-GO		20303	20303	1.00	P31946
AlphaFoldDB		20279	20279	1.00	P31946
AlphaFoldDB	-	20279	20279	1.00	P31946
InParanoid		20279	20278	1.00	P31946
InParanoid	-	20279	20278	1.00	P31946
BioMuta		20258	20073	1.01	YWHAB
BioMuta	-	20258	20073	1.01	YWHAB
HGNC		20256	20293	1.00	HGNC:12849
GeneCards		20247	20296	1.00	YWHAB
GeneCards	-	20247	20296	1.00	YWHAB
AGR		20236	20337	1.00	HGNC:12849
AGR	-	20236	20337	1.00	HGNC:12849
Pharos		20191	20191	1.00	P31946
RNAct		20063	20063	1.00	P31946
RNAct	protein	20062	20062	1.00	P31946
PRO		19989	19989	1.00	PR:P31946
PRO	-	19989	19989	1.00	PR:P31946
InterPro		19794	19516	1.01	IPR000308
PANTHER		19542	23281	0.84	PTHR18860
PathwayCommons		19432	19431	1.00	P31946
PathwayCommons	-	19432	19431	1.00	P31946
GO		19428	17530	1.11	GO:0005737
Ensembl		19401	98361	0.20	ENST00000353703.9
VEuPathDB		19346	19445	0.99	HostDB:ENSG00000166913
VEuPathDB	-	19346	19445	0.99	HostDB:ENSG00000166913
GeneTree		19271	15045	1.28	ENSGT01090000260040
GeneTree	-	19271	15045	1.28	ENSGT01090000260040
Pfam		19269	8580	2.25	PF00244
FunCoup		19229	19229	1.00	P31946
Bgee		19217	19184	1.00	ENSG00000166913
HPA		19212	19295	1.00	ENSG00000166913
PhylomeDB		19207	19206	1.00	P31946
PhylomeDB	-	19207	19206	1.00	P31946
GeneID		19154	19281	0.99	7529
GeneID	-	19154	19281	0.99	7529
CTD		19149	19269	0.99	7529
CTD	-	19149	19269	0.99	7529
MassIVE		19139	19139	1.00	P31946
MassIVE	-	19139	19139	1.00	P31946
KEGG		19129	19302	0.99	hsa:7529
KEGG	-	19129	19302	0.99	hsa:7529
RefSeq		19084	73961	0.26	NP_003395.1
OrthoDB		19023	9898	1.92	10260625at2759
OrthoDB	-	19023	9898	1.92	10260625at2759
PaxDb		18988	18988	1.00	9606-ENSP00000361930
PaxDb	-	18988	18988	1.00	9606-ENSP00000361930
