rank	domain	cofactor_term	p_value	adj_p_value	odds_ratio	hyper_score	domain_type	constituent_domains	n_observations
1	IPR036396	CHEBI:30413	7.298046e-92	2.790087e-86	4768.5000	100.00	single	-	57
2	IPR001128	CHEBI:30413	7.298046e-92	2.790087e-86	4768.5000	100.00	single	-	57
3	IPR017972	CHEBI:30413	2.738434e-81	6.979465e-76	2890.0000	100.00	single	-	52
4	IPR017972,IPR001128	CHEBI:30413	2.880050e-79	3.670201e-74	2655.1875	100.00	supra_pair	IPR017972,IPR001128	51
5	IPR001128,IPR017972,IPR001128	CHEBI:30413	2.880050e-79	3.670201e-74	2655.1875	100.00	supra_triple	IPR001128,IPR017972,IPR001128	51
6	IPR001128,IPR017972	CHEBI:30413	2.880050e-79	3.670201e-74	2655.1875	100.00	supra_pair	IPR001128,IPR017972	51
7	IPR036396,IPR001128	CHEBI:30413	2.357047e-73	2.574609e-68	2099.0526	100.00	supra_pair	IPR036396,IPR001128	48
8	IPR015424	CHEBI:597326	6.391099e-71	5.429679e-66	inf	100.00	single	-	40
9	IPR015421	CHEBI:597326	6.391099e-71	5.429679e-66	inf	100.00	single	-	40
10	IPR035892,IPR000008	CHEBI:29108	2.985847e-63	2.283014e-58	inf	100.00	supra_pair	IPR035892,IPR000008	64
11	IPR001128,IPR002401,IPR002401	CHEBI:30413	4.144783e-62	2.112767e-57	1387.2000	100.00	supra_triple	IPR001128,IPR002401,IPR002401	42
12	IPR001128,IPR002401	CHEBI:30413	4.144783e-62	2.112767e-57	1387.2000	100.00	supra_pair	IPR001128,IPR002401	42
13	IPR002401	CHEBI:30413	4.144783e-62	2.112767e-57	1387.2000	100.00	single	-	42
14	IPR036396,IPR036396	CHEBI:30413	4.144783e-62	2.112767e-57	1387.2000	100.00	supra_pair	IPR036396,IPR036396	42
15	IPR002401,IPR002401	CHEBI:30413	4.144783e-62	2.112767e-57	1387.2000	100.00	supra_pair	IPR002401,IPR002401	42
16	IPR000008	CHEBI:29108	1.770279e-61	8.459853e-57	652.8000	100.00	single	-	65
17	IPR000008,IPR035892	CHEBI:29108	3.684620e-61	1.565169e-56	inf	100.00	supra_pair	IPR000008,IPR035892	62
18	IPR000008,IPR000008	CHEBI:29108	3.684620e-61	1.565169e-56	inf	100.00	supra_pair	IPR000008,IPR000008	62
19	IPR017972,IPR001128,IPR002401	CHEBI:30413	2.672218e-60	8.883523e-56	1300.5000	100.00	supra_triple	IPR017972,IPR001128,IPR002401	41
20	IPR002401,IPR001128,IPR017972	CHEBI:30413	2.672218e-60	8.883523e-56	1300.5000	100.00	supra_triple	IPR002401,IPR001128,IPR017972	41
21	IPR002401,IPR001128	CHEBI:30413	2.672218e-60	8.883523e-56	1300.5000	100.00	supra_pair	IPR002401,IPR001128	41
