rank	domain	ec_term	p_value	adj_p_value	odds_ratio	hyper_score	domain_type	constituent_domains	n_observations
1	IPR001841	2.3.2.27	1.665449e-263	8.251923e-256	1100.1496	100.00	single	-	211
2	IPR013083	2.3.2.27	8.365855e-255	2.072546e-247	471.0345	100.00	single	-	260
3	IPR001841,IPR001841	2.3.2.27	9.984854e-217	1.649090e-209	749.5481	100.00	supra_pair	IPR001841,IPR001841	178
4	IPR011009	2.7.11.1	7.382645e-213	9.144834e-206	248.2400	100.00	single	-	482
5	IPR001806	3.6.5.2	1.227113e-206	1.216014e-199	inf	100.00	single	-	112
6	IPR005225	3.6.5.2	3.012276e-201	2.487525e-194	19104.0000	100.00	single	-	115
7	IPR000719,IPR000719	2.7.11.1	7.241945e-195	5.126028e-188	115.7630	100.00	supra_pair	IPR000719,IPR000719	350
8	IPR000719	2.7.11.1	2.390027e-185	1.480255e-178	102.2090	100.00	single	-	449
9	IPR001806,IPR001806	3.6.5.2	7.419215e-173	4.084503e-166	inf	100.00	supra_pair	IPR001806,IPR001806	98
10	IPR008271	2.7.11.1	1.254656e-159	6.216535e-153	68.5360	100.00	single	-	309
11	IPR000719,IPR000719,IPR000719	2.7.11.1	1.987587e-158	8.952765e-152	72.0756	100.00	supra_triple	IPR000719,IPR000719,IPR000719	283
12	IPR017907	2.3.2.27	4.686586e-138	1.935081e-131	516.8427	100.00	single	-	118
13	IPR000719,IPR017441	2.7.11.1	6.166312e-133	2.350206e-126	53.9986	100.00	supra_pair	IPR000719,IPR017441	252
14	IPR017441	2.7.11.1	2.074854e-130	7.343166e-124	38.8904	100.00	single	-	377
15	IPR027417	3.6.5.2	4.282877e-129	1.414712e-122	inf	100.00	single	-	365
16	IPR001806,IPR027417	3.6.5.2	1.209284e-127	3.744831e-121	inf	100.00	supra_pair	IPR001806,IPR027417	76
17	IPR000387	3.1.3.48	1.779040e-127	5.185142e-121	2320.7143	100.00	single	-	80
18	IPR029021	3.1.3.48	2.027203e-125	5.580184e-119	1557.1893	100.00	single	-	86
19	IPR013083,IPR001841	2.3.2.27	4.900759e-125	1.278008e-118	842.8224	100.00	supra_pair	IPR013083,IPR001841	103
20	IPR038765	3.4.19.12	8.027786e-125	1.988793e-118	581.8095	100.00	single	-	110
21	IPR001394	3.4.19.12	1.240123e-122	2.847149e-116	inf	100.00	single	-	69
22	IPR000719,IPR000719,IPR017441	2.7.11.1	1.264180e-122	2.847149e-116	50.4060	100.00	supra_triple	IPR000719,IPR000719,IPR017441	230
23	IPR028889	3.4.19.12	8.607886e-121	1.854353e-114	8019.5806	100.00	single	-	70
24	IPR001650,IPR001650,IPR001650	3.6.4.13	1.792616e-118	3.700835e-112	3566.2769	100.00	supra_triple	IPR001650,IPR001650,IPR001650	77
25	IPR001650	3.6.4.13	9.973875e-118	1.900703e-111	3310.6286	100.00	single	-	78
26	IPR001650,IPR001650	3.6.4.13	9.973875e-118	1.900703e-111	3310.6286	100.00	supra_pair	IPR001650,IPR001650	78
27	IPR017441,IPR008271	2.7.11.1	3.341227e-117	6.131489e-111	45.8483	100.00	supra_pair	IPR017441,IPR008271	231
28	IPR018200	3.4.19.12	1.661697e-116	2.940475e-110	inf	100.00	single	-	66
29	IPR014001	3.6.4.13	2.619326e-116	4.475230e-110	2895.2000	100.00	single	-	80
30	IPR011545	3.6.4.13	6.450498e-113	9.987737e-107	2764.0625	100.00	single	-	71
31	IPR027417,IPR001650,IPR001650	3.6.4.13	6.450498e-113	9.987737e-107	2764.0625	100.00	supra_triple	IPR027417,IPR001650,IPR001650	71
32	IPR027417,IPR001650	3.6.4.13	6.450498e-113	9.987737e-107	2764.0625	100.00	supra_pair	IPR027417,IPR001650	71
33	IPR000719,IPR017441,IPR008271	2.7.11.1	1.118739e-110	1.679727e-104	47.0649	100.00	supra_triple	IPR000719,IPR017441,IPR008271	205
34	IPR013083,IPR001841,IPR001841	2.3.2.27	1.743721e-108	2.541101e-102	1004.8500	100.00	supra_triple	IPR013083,IPR001841,IPR001841	89
35	IPR011009,IPR000719	2.7.11.1	8.246850e-106	1.167465e-99	29.3766	100.00	supra_pair	IPR011009,IPR000719	313
36	IPR038765,IPR001394	3.4.19.12	1.246426e-102	1.669124e-96	inf	100.00	supra_pair	IPR038765,IPR001394	59
37	IPR001394,IPR028889	3.4.19.12	1.246426e-102	1.669124e-96	inf	100.00	supra_pair	IPR001394,IPR028889	59
38	IPR011009,IPR000719,IPR000719	2.7.11.1	2.164510e-102	2.822278e-96	41.5630	100.00	supra_triple	IPR011009,IPR000719,IPR000719	201
39	IPR011545,IPR014001	3.6.4.13	4.132118e-99	5.249668e-93	1582.7778	100.00	supra_pair	IPR011545,IPR014001	64
40	IPR016130	3.1.3.48	1.039447e-97	1.287557e-91	693.4615	100.00	single	-	72
41	IPR038765,IPR001394,IPR028889	3.4.19.12	7.608576e-97	9.194823e-91	inf	100.00	supra_triple	IPR038765,IPR001394,IPR028889	56
42	IPR014001,IPR011545	3.6.4.13	8.620040e-97	1.016913e-90	1450.4000	100.00	supra_pair	IPR014001,IPR011545	63
43	IPR014001,IPR027417	3.6.4.13	8.896083e-97	1.025072e-90	1186.1012	100.00	supra_pair	IPR014001,IPR027417	67
44	IPR028889,IPR018200	3.4.19.12	6.169710e-95	6.793226e-89	inf	100.00	supra_pair	IPR028889,IPR018200	55
45	IPR001394,IPR028889,IPR018200	3.4.19.12	6.169710e-95	6.793226e-89	inf	100.00	supra_triple	IPR001394,IPR028889,IPR018200	55
46	IPR027417,IPR005225	3.6.5.2	5.301567e-93	5.710449e-87	1761.6417	100.00	supra_pair	IPR027417,IPR005225	61
47	IPR018200,IPR018200	3.4.19.12	3.802890e-91	4.009034e-85	inf	100.00	supra_pair	IPR018200,IPR018200	53
48	IPR014001,IPR011545,IPR014001	3.6.4.13	1.339865e-85	1.383068e-79	987.0778	100.00	supra_triple	IPR014001,IPR011545,IPR014001	58
49	IPR027417,IPR001806	3.6.5.2	5.882637e-84	5.948395e-78	inf	100.00	supra_pair	IPR027417,IPR001806	52
50	IPR020635	2.7.10.1	9.866050e-84	9.776809e-78	2660.6406	100.00	single	-	79
51	IPR008266	2.7.10.1	3.516890e-83	3.416744e-77	4129.1429	100.00	single	-	90
52	IPR029021,IPR029021	3.1.3.48	3.816339e-83	3.636364e-77	2283.7895	100.00	supra_pair	IPR029021,IPR029021	50
53	IPR003595	3.1.3.48	5.042251e-79	4.713814e-73	597.6014	100.00	single	-	57
54	IPR011545,IPR014001,IPR027417	3.6.4.13	1.185150e-78	1.048598e-72	971.7857	100.00	supra_triple	IPR011545,IPR014001,IPR027417	52
55	IPR027417,IPR027417,IPR001650	3.6.4.13	1.185150e-78	1.048598e-72	971.7857	100.00	supra_triple	IPR027417,IPR027417,IPR001650	52
56	IPR014001,IPR027417,IPR027417	3.6.4.13	1.185150e-78	1.048598e-72	971.7857	100.00	supra_triple	IPR014001,IPR027417,IPR027417	52
57	IPR001245	2.7.10.1	2.481975e-78	2.157478e-72	inf	100.00	single	-	121
58	IPR028889,IPR018200,IPR018200	3.4.19.12	2.469871e-76	2.109940e-70	inf	100.00	supra_triple	IPR028889,IPR018200,IPR018200	45
59	IPR005225,IPR001806	3.6.5.2	2.285398e-75	1.919259e-69	inf	100.00	supra_pair	IPR005225,IPR001806	47
60	IPR050122	2.7.10.1	1.440375e-74	1.189455e-68	10118.7692	100.00	single	-	37
61	IPR000608	2.3.2.23	1.204935e-70	9.787184e-65	inf	100.00	single	-	34
62	IPR027417	3.6.4.13	5.526608e-70	4.416628e-64	764.2559	100.00	single	-	365
63	IPR050164	3.4.19.12	4.064128e-69	3.196323e-63	inf	100.00	single	-	41
64	IPR001841,IPR017907	2.3.2.27	1.349299e-68	1.044605e-62	374.1378	100.00	supra_pair	IPR001841,IPR017907	61
65	IPR003595,IPR000387	3.1.3.48	2.172763e-68	1.656238e-62	689.7545	100.00	supra_pair	IPR003595,IPR000387	47
66	IPR016135	2.3.2.23	1.270604e-67	9.538723e-62	inf	100.00	single	-	38
67	IPR000569	2.3.2.26	1.483466e-67	1.065252e-61	inf	100.00	single	-	27
68	IPR000569,IPR000569	2.3.2.26	1.483466e-67	1.065252e-61	inf	100.00	supra_pair	IPR000569,IPR000569	27
69	IPR035983	2.3.2.26	1.483466e-67	1.065252e-61	inf	100.00	single	-	27
70	IPR001841,IPR001841,IPR017907	2.3.2.27	1.896309e-67	1.342255e-61	1047.4176	100.00	supra_triple	IPR001841,IPR001841,IPR017907	56
71	IPR008266,IPR001245,IPR001245	2.7.10.1	4.692901e-65	3.274966e-59	473.3333	100.00	supra_triple	IPR008266,IPR001245,IPR001245	74
72	IPR035983,IPR000569	2.3.2.26	2.728095e-64	1.851656e-58	inf	100.00	supra_pair	IPR035983,IPR000569	26
73	IPR000569,IPR000569,IPR000569	2.3.2.26	2.728095e-64	1.851656e-58	inf	100.00	supra_triple	IPR000569,IPR000569,IPR000569	26
74	IPR027417,IPR027417	3.6.4.13	3.285480e-64	2.199839e-58	121.0024	100.00	supra_pair	IPR027417,IPR027417	228
75	IPR008266,IPR001245	2.7.10.1	4.386109e-64	2.822360e-58	434.5946	100.00	supra_pair	IPR008266,IPR001245	77
76	IPR001245,IPR008266,IPR001245	2.7.10.1	4.386109e-64	2.822360e-58	434.5946	100.00	supra_triple	IPR001245,IPR008266,IPR001245	77
77	IPR001245,IPR008266	2.7.10.1	4.386109e-64	2.822360e-58	434.5946	100.00	supra_pair	IPR001245,IPR008266	77
78	IPR050164,IPR038765	3.4.19.12	8.816913e-64	5.600744e-58	inf	100.00	supra_pair	IPR050164,IPR038765	38
79	IPR001245,IPR001245	2.7.10.1	1.957374e-62	1.227638e-56	362.1667	100.00	supra_pair	IPR001245,IPR001245	92
80	IPR001245,IPR001245,IPR008266	2.7.10.1	4.036526e-62	2.500009e-56	392.0583	100.00	supra_triple	IPR001245,IPR001245,IPR008266	75
81	IPR014014	3.6.4.13	9.093258e-62	5.562350e-56	inf	100.00	single	-	33
82	IPR000242	3.1.3.48	1.162998e-61	6.942643e-56	2604.2400	100.00	single	-	37
83	IPR000242,IPR003595	3.1.3.48	1.162998e-61	6.942643e-56	2604.2400	100.00	supra_pair	IPR000242,IPR003595	37
84	IPR001245,IPR001245,IPR001245	2.7.10.1	3.333126e-61	1.966058e-55	361.6000	100.00	supra_triple	IPR001245,IPR001245,IPR001245	78
85	IPR001594	2.3.1.225	3.758131e-61	2.190669e-55	inf	100.00	single	-	24
86	IPR001841,IPR001841,IPR001841	2.3.2.27	5.171389e-61	2.979426e-55	926.7380	100.00	supra_triple	IPR001841,IPR001841,IPR001841	51
87	IPR016135,IPR000608	2.3.2.23	6.746922e-61	3.842468e-55	8257.5000	100.00	supra_pair	IPR016135,IPR000608	31
88	IPR050108	2.7.11.22	9.314884e-61	5.244675e-55	45950.0000	100.00	single	-	26
89	IPR000315	2.3.2.27	4.014825e-60	2.235118e-54	inf	100.00	single	-	48
90	IPR000242,IPR003595,IPR000387	3.1.3.48	8.138547e-60	4.289857e-54	2482.2549	100.00	supra_triple	IPR000242,IPR003595,IPR000387	36
91	IPR000242,IPR000242	3.1.3.48	8.138547e-60	4.289857e-54	2482.2549	100.00	supra_pair	IPR000242,IPR000242	36
92	IPR000242,IPR000242,IPR003595	3.1.3.48	8.138547e-60	4.289857e-54	2482.2549	100.00	supra_triple	IPR000242,IPR000242,IPR003595	36
93	IPR020422	3.1.3.48	8.138547e-60	4.289857e-54	2482.2549	100.00	single	-	36
94	IPR029021,IPR000242	3.1.3.48	8.138547e-60	4.289857e-54	2482.2549	100.00	supra_pair	IPR029021,IPR000242	36
95	IPR027417,IPR014014	3.6.4.13	9.024444e-60	4.706745e-54	inf	100.00	supra_pair	IPR027417,IPR014014	32
96	IPR013783	2.7.10.1	9.401532e-59	4.852340e-53	280.5458	100.00	single	-	97
97	IPR035983,IPR000569,IPR000569	2.3.2.26	3.077909e-58	1.572200e-52	inf	100.00	supra_triple	IPR035983,IPR000569,IPR000569	24
98	IPR029021,IPR000242,IPR000242	3.1.3.48	5.582967e-58	2.766234e-52	2364.9615	100.00	supra_triple	IPR029021,IPR000242,IPR000242	35
99	IPR000242,IPR016130	3.1.3.48	5.582967e-58	2.766234e-52	2364.9615	100.00	supra_pair	IPR000242,IPR016130	35
100	IPR000242,IPR000242,IPR000242	3.1.3.48	5.582967e-58	2.766234e-52	2364.9615	100.00	supra_triple	IPR000242,IPR000242,IPR000242	35
