rank	domain	go_term	p_value	adj_p_value	odds_ratio	hyper_score	domain_type	constituent_domains	n_observations
1	IPR013087,IPR013087,IPR036236	GO:0006357	0.000000e+00	0.000000e+00	49.9434	100.00	supra_triple	IPR013087,IPR013087,IPR036236	711
2	IPR013087,IPR013087,IPR013087	GO:0006357	0.000000e+00	0.000000e+00	48.5018	100.00	supra_triple	IPR013087,IPR013087,IPR013087	745
3	IPR013087,IPR013087,IPR013087	GO:0000981	0.000000e+00	0.000000e+00	49.4046	100.00	supra_triple	IPR013087,IPR013087,IPR013087	745
4	IPR000276	GO:0004984	0.000000e+00	0.000000e+00	5154.2150	100.00	single	-	708
5	IPR011009	GO:0004674	0.000000e+00	0.000000e+00	1122.3017	100.00	single	-	523
6	IPR036236	GO:0000978	0.000000e+00	0.000000e+00	46.8289	100.00	single	-	767
7	IPR036236	GO:0000981	0.000000e+00	0.000000e+00	46.5715	100.00	single	-	767
8	IPR013087,IPR036236,IPR013087	GO:0000978	0.000000e+00	0.000000e+00	55.2398	100.00	supra_triple	IPR013087,IPR036236,IPR013087	705
9	IPR000276,IPR000276,IPR000725	GO:0004984	0.000000e+00	0.000000e+00	10417.6909	100.00	supra_triple	IPR000276,IPR000276,IPR000725	315
10	IPR008271	GO:0004674	0.000000e+00	0.000000e+00	953.8721	100.00	single	-	309
11	IPR000725,IPR000276,IPR000276	GO:0004984	0.000000e+00	0.000000e+00	10042.9752	100.00	supra_triple	IPR000725,IPR000276,IPR000276	312
12	IPR000276,IPR000725,IPR017452	GO:0004984	0.000000e+00	0.000000e+00	43351.0364	100.00	supra_triple	IPR000276,IPR000725,IPR017452	392
13	IPR036236,IPR013087	GO:0000978	0.000000e+00	0.000000e+00	52.7836	100.00	supra_pair	IPR036236,IPR013087	732
14	IPR036236,IPR013087	GO:0000981	0.000000e+00	0.000000e+00	51.0364	100.00	supra_pair	IPR036236,IPR013087	732
15	IPR013087,IPR013087	GO:0000981	0.000000e+00	0.000000e+00	47.8144	100.00	supra_pair	IPR013087,IPR013087	764
16	IPR000725,IPR017452	GO:0004984	0.000000e+00	0.000000e+00	70235.4000	100.00	supra_pair	IPR000725,IPR017452	404
17	IPR013087,IPR013087,IPR013087	GO:0000978	0.000000e+00	0.000000e+00	50.2602	100.00	supra_triple	IPR013087,IPR013087,IPR013087	745
18	IPR036236,IPR013087,IPR013087	GO:0000978	0.000000e+00	0.000000e+00	54.6819	100.00	supra_triple	IPR036236,IPR013087,IPR013087	723
19	IPR036236,IPR013087,IPR013087	GO:0000981	0.000000e+00	0.000000e+00	52.2844	100.00	supra_triple	IPR036236,IPR013087,IPR013087	723
20	IPR013087,IPR036236	GO:0006357	0.000000e+00	0.000000e+00	50.6279	100.00	supra_pair	IPR013087,IPR036236	718
21	IPR036236	GO:0006357	0.000000e+00	0.000000e+00	44.9925	100.00	single	-	767
22	IPR000725	GO:0004984	0.000000e+00	0.000000e+00	1548875.4000	100.00	single	-	424
23	IPR000725,IPR000276	GO:0004984	0.000000e+00	0.000000e+00	190374.9000	100.00	supra_pair	IPR000725,IPR000276	417
24	IPR017452,IPR000276	GO:0004984	0.000000e+00	0.000000e+00	656.5695	100.00	supra_pair	IPR017452,IPR000276	550
25	IPR017452	GO:0005886	0.000000e+00	0.000000e+00	80.4842	100.00	single	-	724
26	IPR000719	GO:0004674	0.000000e+00	0.000000e+00	875.8571	100.00	single	-	480
27	IPR000725,IPR000725	GO:0004984	0.000000e+00	0.000000e+00	56017.7077	100.00	supra_pair	IPR000725,IPR000725	399
28	IPR036236,IPR013087,IPR013087	GO:0006357	0.000000e+00	0.000000e+00	52.6801	100.00	supra_triple	IPR036236,IPR013087,IPR013087	723
29	IPR017452	GO:0004984	0.000000e+00	0.000000e+00	inf	100.00	single	-	724
30	IPR013087	GO:0006357	0.000000e+00	0.000000e+00	42.8710	100.00	single	-	798
31	IPR013087,IPR013087	GO:0006357	0.000000e+00	0.000000e+00	48.0084	100.00	supra_pair	IPR013087,IPR013087	764
32	IPR001841	GO:0061630	0.000000e+00	0.000000e+00	944.4778	100.00	single	-	294
33	IPR000276,IPR000276	GO:0004984	0.000000e+00	0.000000e+00	187.5034	100.00	supra_pair	IPR000276,IPR000276	597
34	IPR013087	GO:0000978	0.000000e+00	0.000000e+00	43.2175	100.00	single	-	798
35	IPR013087,IPR036236	GO:0000981	0.000000e+00	0.000000e+00	51.4082	100.00	supra_pair	IPR013087,IPR036236	718
36	IPR013087,IPR036236	GO:0000978	0.000000e+00	0.000000e+00	52.8164	100.00	supra_pair	IPR013087,IPR036236	718
37	IPR001841,IPR001841	GO:0061630	0.000000e+00	0.000000e+00	798.0514	100.00	supra_pair	IPR001841,IPR001841	242
38	IPR013087,IPR013087,IPR036236	GO:0000981	0.000000e+00	0.000000e+00	51.4069	100.00	supra_triple	IPR013087,IPR013087,IPR036236	711
39	IPR013087,IPR013087,IPR036236	GO:0000978	0.000000e+00	0.000000e+00	53.8956	100.00	supra_triple	IPR013087,IPR013087,IPR036236	711
40	IPR000276,IPR000725,IPR000725	GO:0004984	0.000000e+00	0.000000e+00	46386.3677	100.00	supra_triple	IPR000276,IPR000725,IPR000725	394
41	IPR000719,IPR017441	GO:0004674	0.000000e+00	0.000000e+00	581.3810	100.00	supra_pair	IPR000719,IPR017441	252
42	IPR000725,IPR000276,IPR000725	GO:0004984	0.000000e+00	0.000000e+00	190374.9000	100.00	supra_triple	IPR000725,IPR000276,IPR000725	417
43	IPR036236,IPR013087	GO:0006357	0.000000e+00	0.000000e+00	51.1917	100.00	supra_pair	IPR036236,IPR013087	732
44	IPR013087,IPR036236,IPR013087	GO:0000981	0.000000e+00	0.000000e+00	52.8464	100.00	supra_triple	IPR013087,IPR036236,IPR013087	705
45	IPR013087,IPR036236,IPR013087	GO:0006357	0.000000e+00	0.000000e+00	52.3512	100.00	supra_triple	IPR013087,IPR036236,IPR013087	705
46	IPR000719,IPR000719,IPR000719	GO:0004674	0.000000e+00	0.000000e+00	920.0126	100.00	supra_triple	IPR000719,IPR000719,IPR000719	284
47	IPR017452,IPR000276,IPR000725	GO:0004984	0.000000e+00	0.000000e+00	36262.9235	100.00	supra_triple	IPR017452,IPR000276,IPR000725	362
48	IPR013087,IPR013087	GO:0000978	0.000000e+00	0.000000e+00	48.0090	100.00	supra_pair	IPR013087,IPR013087	764
49	IPR017441	GO:0004674	0.000000e+00	0.000000e+00	380.3068	100.00	single	-	377
50	IPR000719,IPR000719	GO:0004674	0.000000e+00	0.000000e+00	1471.9116	100.00	supra_pair	IPR000719,IPR000719	365
51	IPR013083	GO:0061630	0.000000e+00	0.000000e+00	264.0833	100.00	single	-	453
52	IPR013087	GO:0000981	0.000000e+00	0.000000e+00	42.7088	100.00	single	-	798
53	IPR000276,IPR000725	GO:0004984	0.000000e+00	0.000000e+00	255065.4000	100.00	supra_pair	IPR000276,IPR000725	419
54	IPR000276	GO:0005886	0.000000e+00	0.000000e+00	81.5101	100.00	single	-	708
