rank	domain	reactome_term	p_value	adj_p_value	odds_ratio	hyper_score	domain_type	constituent_domains	n_observations
1	IPR000725,IPR017452	R-HSA-9752946	0.000000e+00	0.000000e+00	inf	100.00	supra_pair	IPR000725,IPR017452	381
2	IPR001909,IPR001909	R-HSA-212436	0.000000e+00	0.000000e+00	9714.0185	100.00	supra_pair	IPR001909,IPR001909	293
3	IPR017452,IPR000276	R-HSA-9752946	0.000000e+00	0.000000e+00	412.0730	100.00	supra_pair	IPR017452,IPR000276	489
4	IPR013087,IPR036236,IPR013087	R-HSA-212436	0.000000e+00	0.000000e+00	1554.2246	100.00	supra_triple	IPR013087,IPR036236,IPR013087	388
5	IPR000725,IPR000725	R-HSA-9752946	0.000000e+00	0.000000e+00	inf	100.00	supra_pair	IPR000725,IPR000725	376
6	IPR000725,IPR000276	R-HSA-9752946	0.000000e+00	0.000000e+00	inf	100.00	supra_pair	IPR000725,IPR000276	395
7	IPR000276,IPR000725	R-HSA-9752946	0.000000e+00	0.000000e+00	inf	100.00	supra_pair	IPR000276,IPR000725	396
8	IPR036051,IPR001909	R-HSA-212436	0.000000e+00	0.000000e+00	8379.7644	100.00	supra_pair	IPR036051,IPR001909	270
9	IPR001909,IPR001909,IPR001909	R-HSA-212436	0.000000e+00	0.000000e+00	8863.5600	100.00	supra_triple	IPR001909,IPR001909,IPR001909	288
10	IPR036236,IPR013087	R-HSA-212436	0.000000e+00	0.000000e+00	1529.0087	100.00	supra_pair	IPR036236,IPR013087	396
11	IPR000725	R-HSA-9752946	0.000000e+00	0.000000e+00	inf	100.00	single	-	400
12	IPR013087,IPR013087	R-HSA-212436	0.000000e+00	0.000000e+00	1413.5540	100.00	supra_pair	IPR013087,IPR013087	402
13	IPR013087,IPR036236	R-HSA-212436	0.000000e+00	0.000000e+00	1531.5591	100.00	supra_pair	IPR013087,IPR036236	389
14	IPR000725,IPR000276,IPR000725	R-HSA-9752946	0.000000e+00	0.000000e+00	inf	100.00	supra_triple	IPR000725,IPR000276,IPR000725	395
15	IPR036236,IPR013087,IPR013087	R-HSA-212436	0.000000e+00	0.000000e+00	1517.9232	100.00	supra_triple	IPR036236,IPR013087,IPR013087	393
16	IPR000276,IPR000725,IPR000276	R-HSA-9752946	0.000000e+00	0.000000e+00	inf	100.00	supra_triple	IPR000276,IPR000725,IPR000276	370
17	IPR000725,IPR000725,IPR000276	R-HSA-9752946	0.000000e+00	0.000000e+00	inf	100.00	supra_triple	IPR000725,IPR000725,IPR000276	368
18	IPR013087,IPR013087,IPR013087	R-HSA-212436	0.000000e+00	0.000000e+00	1476.6271	100.00	supra_triple	IPR013087,IPR013087,IPR013087	395
19	IPR036236	R-HSA-212436	0.000000e+00	0.000000e+00	1284.1048	100.00	single	-	410
20	IPR000725,IPR000276,IPR000276	R-HSA-9752946	0.000000e+00	0.000000e+00	inf	100.00	supra_triple	IPR000725,IPR000276,IPR000276	298
21	IPR017452,IPR000276,IPR000725	R-HSA-9752946	0.000000e+00	0.000000e+00	inf	100.00	supra_triple	IPR017452,IPR000276,IPR000725	340
22	IPR036051,IPR001909,IPR001909	R-HSA-212436	0.000000e+00	0.000000e+00	9925.3053	100.00	supra_triple	IPR036051,IPR001909,IPR001909	261
23	IPR036051	R-HSA-212436	0.000000e+00	0.000000e+00	9900.0562	100.00	single	-	294
24	IPR000725,IPR017452,IPR000276	R-HSA-9752946	0.000000e+00	0.000000e+00	inf	100.00	supra_triple	IPR000725,IPR017452,IPR000276	325
25	IPR000276	R-HSA-9752946	0.000000e+00	0.000000e+00	1768.7448	100.00	single	-	635
26	IPR017452	R-HSA-9752946	0.000000e+00	0.000000e+00	2939.9449	100.00	single	-	642
27	IPR013087,IPR013087,IPR036236	R-HSA-212436	0.000000e+00	0.000000e+00	1531.5591	100.00	supra_triple	IPR013087,IPR013087,IPR036236	389
28	IPR013087	R-HSA-212436	0.000000e+00	0.000000e+00	1328.3459	100.00	single	-	420
29	IPR000276,IPR000276	R-HSA-9752946	0.000000e+00	0.000000e+00	136.0463	100.00	supra_pair	IPR000276,IPR000276	534
30	IPR000276,IPR000725,IPR017452	R-HSA-9752946	0.000000e+00	0.000000e+00	inf	100.00	supra_triple	IPR000276,IPR000725,IPR017452	370
31	IPR001909	R-HSA-212436	0.000000e+00	0.000000e+00	10706.2200	100.00	single	-	298
32	IPR000276,IPR000725,IPR000725	R-HSA-9752946	0.000000e+00	0.000000e+00	inf	100.00	supra_triple	IPR000276,IPR000725,IPR000725	372
33	IPR000276,IPR000276,IPR000725	R-HSA-9752946	0.000000e+00	0.000000e+00	inf	100.00	supra_triple	IPR000276,IPR000276,IPR000725	301
