rank	domain	go_term	p_value	adj_p_value	odds_ratio	hyper_score	domain_type	constituent_domains	n_observations	interpro_id
1	SSF57667	GO:0000978	0.000000e+00	0.000000e+00	31.6470	100.00	single	-	767	IPR036236
2	SSF57667	GO:0000981	0.000000e+00	0.000000e+00	31.0849	100.00	single	-	767	IPR036236
3	SSF57667,SSF57667	GO:0006357	0.000000e+00	0.000000e+00	37.1213	100.00	supra_pair	SSF57667,SSF57667	692	IPR036236,IPR036236
4	SSF56112	GO:0004674	0.000000e+00	0.000000e+00	863.5384	100.00	single	-	523	IPR011009
5	SSF57667,SSF57667	GO:0000981	0.000000e+00	0.000000e+00	34.5424	100.00	supra_pair	SSF57667,SSF57667	692	IPR036236,IPR036236
6	SSF57667,SSF57667	GO:0000978	0.000000e+00	0.000000e+00	36.9619	100.00	supra_pair	SSF57667,SSF57667	692	IPR036236,IPR036236
7	SSF57667	GO:0006357	0.000000e+00	0.000000e+00	32.7976	100.00	single	-	767	IPR036236
8	SSF57667,SSF57667,SSF57667	GO:0006357	3.747936e-314	2.416430e-307	34.5323	100.00	supra_triple	SSF57667,SSF57667,SSF57667	593	IPR036236,IPR036236,IPR036236
9	SSF57667,SSF57667,SSF57667	GO:0000981	1.637473e-294	9.384338e-288	31.1116	100.00	supra_triple	SSF57667,SSF57667,SSF57667	593	IPR036236,IPR036236,IPR036236
10	SSF57667,SSF57667,SSF57667	GO:0000978	1.077456e-275	5.557397e-269	29.5445	100.00	supra_triple	SSF57667,SSF57667,SSF57667	593	IPR036236,IPR036236,IPR036236
11	SSF48726	GO:0005886	2.653147e-261	1.244058e-254	16.7211	100.00	single	-	785	IPR036179
12	SSF52540	GO:0003924	5.672789e-260	2.438302e-253	97.1992	100.00	single	-	852	IPR027417
13	SSF57667	GO:0005634	3.552095e-250	1.409332e-243	21.7470	100.00	single	-	767	IPR036236
14	SSF57667,SSF57667	GO:0005634	1.992471e-246	7.340677e-240	29.0260	100.00	supra_pair	SSF57667,SSF57667	692	IPR036236,IPR036236
15	SSF56112	GO:0106310	1.066769e-245	3.668184e-239	861.3220	100.00	single	-	523	IPR011009
16	SSF56112	GO:0006468	1.749579e-242	5.640084e-236	295.3070	100.00	single	-	523	IPR011009
17	SSF109640,SSF57667,SSF57667	GO:0000981	2.402957e-217	7.290698e-211	43.8020	100.00	supra_triple	SSF109640,SSF57667,SSF57667	350	IPR036051,IPR036236,IPR036236
18	SSF57667,SSF57667,SSF57667	GO:0005634	9.510764e-217	2.725304e-210	32.2780	100.00	supra_triple	SSF57667,SSF57667,SSF57667	593	IPR036236,IPR036236,IPR036236
19	SSF109640,SSF57667	GO:0000981	1.012384e-216	2.748297e-210	43.2292	100.00	supra_pair	SSF109640,SSF57667	351	IPR036051,IPR036236
20	SSF56112	GO:0004672	4.432739e-209	1.143179e-202	342.9857	100.00	single	-	523	IPR011009
21	SSF109640	GO:0000981	3.722465e-207	9.142888e-201	35.1476	100.00	single	-	370	IPR036051
22	SSF109640,SSF57667,SSF57667	GO:0006357	3.225001e-204	7.561001e-198	37.9903	100.00	supra_triple	SSF109640,SSF57667,SSF57667	350	IPR036051,IPR036236,IPR036236
23	SSF109640,SSF57667	GO:0006357	1.298230e-203	2.911360e-197	37.5120	100.00	supra_pair	SSF109640,SSF57667	351	IPR036051,IPR036236
24	SSF46689	GO:0000785	1.506829e-202	3.238358e-196	47.6127	100.00	single	-	313	IPR009057
25	SSF46689	GO:0000981	9.672364e-200	1.995560e-193	46.0550	100.00	single	-	313	IPR009057
26	SSF52540	GO:0016887	1.023646e-196	2.030713e-190	75.9811	100.00	single	-	852	IPR027417
27	SSF109640	GO:0006357	2.488343e-194	4.753556e-188	30.7156	100.00	single	-	370	IPR036051
28	SSF50494	GO:0004252	5.190052e-178	9.560614e-172	855.2484	100.00	single	-	124	IPR009003
29	SSF54001	GO:0004843	2.856137e-173	5.079875e-167	5746.0000	100.00	single	-	145	IPR038765
30	SSF48726	GO:0006955	2.487166e-169	4.276176e-163	29.6363	100.00	single	-	785	IPR036179
31	SSF46689	GO:0006357	2.416539e-167	4.020723e-161	31.0610	100.00	single	-	313	IPR009057
32	SSF109640,SSF57667	GO:0000978	1.637243e-153	2.638975e-147	23.4380	100.00	supra_pair	SSF109640,SSF57667	351	IPR036051,IPR036236
33	SSF52540	GO:0005525	2.242790e-153	3.505474e-147	76.5359	100.00	single	-	852	IPR027417
34	SSF109640,SSF57667,SSF57667	GO:0000978	1.533405e-152	2.326216e-146	23.3023	100.00	supra_triple	SSF109640,SSF57667,SSF57667	350	IPR036051,IPR036236,IPR036236
35	SSF109640	GO:0000978	1.333337e-151	1.964916e-145	21.4910	100.00	single	-	370	IPR036051
36	SSF46689	GO:1990837	1.884941e-151	2.700644e-145	36.8384	100.00	single	-	313	IPR009057
37	SSF48726	GO:0003823	8.973947e-150	1.250990e-143	377.7248	100.00	single	-	785	IPR036179
38	SSF81383	GO:0031146	2.212624e-147	3.003281e-141	15553.7292	100.00	single	-	65	IPR036047
39	SSF81383	GO:0019005	5.944067e-146	7.861243e-140	13304.9825	100.00	single	-	65	IPR036047
40	SSF48726	GO:0019814	5.322287e-133	6.862943e-127	inf	100.00	single	-	785	IPR036179
41	SSF109640	GO:0005634	6.967922e-133	8.765799e-127	30.1887	100.00	single	-	370	IPR036051
42	SSF47473	GO:0005509	5.249091e-132	6.446246e-126	57.5305	100.00	single	-	259	IPR011992
43	SSF49313,SSF49313,SSF49313	GO:0050839	4.153772e-131	4.982489e-125	486.2000	100.00	supra_triple	SSF49313,SSF49313,SSF49313	111	IPR015919,IPR015919,IPR015919
44	SSF48065	GO:0005085	4.472417e-131	5.242781e-125	3877.0972	100.00	single	-	71	IPR035899
45	SSF109640,SSF57667	GO:0005634	4.340078e-130	4.974587e-124	34.5389	100.00	supra_pair	SSF109640,SSF57667	351	IPR036051,IPR036236
46	SSF49313,SSF49313	GO:0050839	9.987545e-130	1.119884e-123	449.6240	100.00	supra_pair	SSF49313,SSF49313	114	IPR015919,IPR015919
47	SSF109640,SSF57667,SSF57667	GO:0005634	1.263321e-129	1.386398e-123	34.4257	100.00	supra_triple	SSF109640,SSF57667,SSF57667	350	IPR036051,IPR036236,IPR036236
48	SSF49313	GO:0050839	2.079795e-128	2.234865e-122	418.1516	100.00	single	-	117	IPR015919
49	SSF56112	GO:0035556	1.020031e-125	1.073716e-119	33.4372	100.00	single	-	523	IPR011009
50	SSF54117	GO:0008009	1.350653e-124	1.393304e-118	inf	100.00	single	-	44	IPR036048
51	SSF52799	GO:0004725	1.785539e-124	1.805806e-118	1512.8496	100.00	single	-	102	IPR029021
52	SSF56112	GO:0046777	5.767724e-124	5.721017e-118	827.8472	100.00	single	-	523	IPR011009
53	SSF48350	GO:0005096	2.083322e-123	2.027462e-117	428.0802	100.00	single	-	91	IPR008936
54	SSF56112	GO:0004713	4.296404e-121	4.103774e-115	805.9217	100.00	single	-	523	IPR011009
55	SSF50494	GO:0008236	7.003131e-121	6.567524e-115	1218.2000	100.00	single	-	124	IPR009003
56	SSF48508	GO:0004879	9.465547e-121	8.718259e-115	47004.3333	100.00	single	-	48	IPR035500
57	SSF54928	GO:0003723	9.233122e-119	8.354988e-113	43.2880	100.00	single	-	250	IPR035979
58	SSF54695,SSF117281	GO:0031463	1.677591e-114	1.491867e-108	inf	100.00	supra_pair	SSF54695,SSF117281	46	IPR011333,IPR015915
59	SSF49313,SSF49313	GO:0007155	1.821404e-113	1.592305e-107	157.7843	100.00	supra_pair	SSF49313,SSF49313	114	IPR015919,IPR015919
60	SSF47113	GO:0030527	4.132964e-113	3.552896e-107	2371.7985	100.00	single	-	92	IPR009072
61	SSF49313,SSF49313,SSF49313	GO:0007155	6.602017e-113	5.582374e-107	165.4301	100.00	supra_triple	SSF49313,SSF49313,SSF49313	111	IPR015919,IPR015919,IPR015919
62	SSF49313	GO:0007155	6.901651e-112	5.741606e-106	144.2239	100.00	single	-	117	IPR015919
63	SSF46689	GO:0000978	2.950573e-111	2.415672e-105	17.2294	100.00	single	-	313	IPR009057
64	SSF54695	GO:0031463	1.658592e-107	1.336693e-101	1002.3967	100.00	single	-	181	IPR011333
65	SSF54001	GO:0031647	6.142797e-106	4.874442e-100	226.4144	100.00	single	-	145	IPR038765
66	SSF54928	GO:0003729	2.472626e-104	1.932354e-98	66.8212	100.00	single	-	250	IPR035979
67	SSF117281	GO:0031463	3.675712e-102	2.829690e-96	1780.0341	100.00	single	-	64	IPR015915
68	SSF47459	GO:0000785	2.435710e-101	1.847518e-95	119.7382	100.00	single	-	114	IPR036638
69	SSF47113	GO:0000786	5.983456e-100	4.472755e-94	799.0436	100.00	single	-	92	IPR009072
70	SSF47459	GO:0000981	6.595811e-95	4.860067e-89	107.1007	100.00	single	-	114	IPR036638
71	SSF48726	GO:0016064	7.088149e-95	5.149281e-89	159.5692	100.00	single	-	785	IPR036179
72	SSF46689	GO:0005634	1.259349e-92	9.021646e-87	16.3224	100.00	single	-	313	IPR009057
73	SSF54001	GO:0016579	9.120114e-92	6.443911e-86	1034.8698	100.00	single	-	145	IPR038765
74	SSF56574	GO:0004867	1.471924e-90	1.025949e-84	18891.5833	100.00	single	-	38	IPR036186
75	SSF48065	GO:0051056	1.969718e-90	1.354612e-84	502.8274	100.00	single	-	71	IPR035899
76	SSF48726,SSF48726	GO:0005886	8.497947e-90	5.767300e-84	12.5690	100.00	supra_pair	SSF48726,SSF48726	304	IPR036179,IPR036179
77	SSF103473	GO:0022857	1.531047e-88	1.025581e-82	331.1765	100.00	single	-	135	IPR036259
78	SSF47459	GO:0070888	1.760292e-88	1.164025e-82	1136.1801	100.00	single	-	114	IPR036638
79	SSF57667	GO:0003700	1.017378e-85	6.642434e-80	10.6037	100.00	single	-	767	IPR036236
80	SSF54495	GO:0061631	1.079135e-85	6.957574e-80	21942.5263	100.00	single	-	53	IPR016135
81	SSF52540	GO:0003925	1.941099e-83	1.236046e-77	95.0718	100.00	single	-	852	IPR027417
82	SSF48264	GO:0016712	1.635541e-82	1.028773e-76	inf	100.00	single	-	58	IPR036396
83	SSF101912	GO:0071526	1.393679e-80	8.660772e-75	36825.0000	100.00	single	-	31	IPR036352
84	SSF50494	GO:0006508	2.240555e-80	1.375778e-74	73.0527	100.00	single	-	124	IPR009003
85	SSF54695,SSF117281	GO:0043161	2.737877e-80	1.661372e-74	inf	100.00	supra_pair	SSF54695,SSF117281	46	IPR011333,IPR015915
86	SSF47266	GO:0005125	1.365971e-79	8.192472e-74	602.8412	100.00	single	-	54	IPR009079
87	SSF117281	GO:1990756	1.680887e-79	9.965321e-74	357.3372	100.00	single	-	64	IPR015915
88	SSF49313,SSF49313,SSF49313	GO:0016339	1.092626e-78	6.404143e-73	1652.2188	100.00	supra_triple	SSF49313,SSF49313,SSF49313	111	IPR015919,IPR015919,IPR015919
89	SSF49313,SSF49313	GO:0016339	3.887234e-78	2.252801e-72	1585.7400	100.00	supra_pair	SSF49313,SSF49313	114	IPR015919,IPR015919
90	SSF47923	GO:0005096	6.279610e-78	3.598838e-72	550.6560	100.00	single	-	53	IPR035969
91	SSF49313	GO:0016339	1.327905e-77	7.526581e-72	1524.3750	100.00	single	-	117	IPR015919
92	SSF48350	GO:0051056	1.373908e-77	7.702682e-72	232.1197	100.00	single	-	91	IPR008936
93	SSF55550,SSF56112	GO:0004715	4.354573e-77	2.415098e-71	inf	100.00	supra_pair	SSF55550,SSF56112	28	IPR036860,IPR011009
94	SSF54695,SSF117281	GO:1990756	2.952208e-75	1.619911e-69	872.9032	100.00	supra_pair	SSF54695,SSF117281	46	IPR011333,IPR015915
95	SSF117281	GO:0043161	8.052194e-74	4.371824e-68	213.0481	100.00	single	-	64	IPR015915
96	SSF57667,SSF57667	GO:0003700	1.638383e-73	8.802706e-68	9.7592	100.00	supra_pair	SSF57667,SSF57667	692	IPR036236,IPR036236
97	SSF57667	GO:0000977	2.746717e-73	1.460543e-67	12.4632	100.00	single	-	767	IPR036236
98	SSF54117	GO:0061844	2.776202e-73	1.461158e-67	1160.1220	100.00	single	-	44	IPR036048
99	SSF54117	GO:0070098	6.233663e-73	3.247732e-67	3754.5918	100.00	single	-	44	IPR036048
100	SSF52540,SSF52540	GO:0016887	8.583205e-73	4.427123e-67	65.6826	100.00	supra_pair	SSF52540,SSF52540	120	IPR027417,IPR027417
