rank	domain	subcellular_term	p_value	adj_p_value	odds_ratio	hyper_score	domain_type	constituent_domains	n_observations
1	IPR036236,IPR013087	SL-0191	0.000000e+00	0.000000e+00	191.0255	100.00	supra_pair	IPR036236,IPR013087	717
2	IPR013087	SL-0191	0.000000e+00	0.000000e+00	70.2426	100.00	single	-	777
3	IPR017452	SL-0039	0.000000e+00	0.000000e+00	154.6412	100.00	single	-	722
4	IPR000276	SL-9909	0.000000e+00	0.000000e+00	2459.0941	100.00	single	-	706
5	IPR000725,IPR000276	SL-9909	0.000000e+00	0.000000e+00	inf	100.00	supra_pair	IPR000725,IPR000276	415
6	IPR000725,IPR000276,IPR000725	SL-9909	0.000000e+00	0.000000e+00	inf	100.00	supra_triple	IPR000725,IPR000276,IPR000725	415
7	IPR017452,IPR000276	SL-0039	0.000000e+00	0.000000e+00	171.7372	100.00	supra_pair	IPR017452,IPR000276	548
8	IPR036236,IPR013087,IPR013087	SL-0191	0.000000e+00	0.000000e+00	210.1761	100.00	supra_triple	IPR036236,IPR013087,IPR013087	710
9	IPR036236	SL-0191	0.000000e+00	0.000000e+00	117.1338	100.00	single	-	750
10	IPR000725,IPR017452	SL-9909	0.000000e+00	0.000000e+00	inf	100.00	supra_pair	IPR000725,IPR017452	402
11	IPR013087,IPR036236	SL-0191	0.000000e+00	0.000000e+00	187.8897	100.00	supra_pair	IPR013087,IPR036236	707
12	IPR000276,IPR000276	SL-9909	0.000000e+00	0.000000e+00	1962.9139	100.00	supra_pair	IPR000276,IPR000276	595
13	IPR013087,IPR013087,IPR013087	SL-0191	0.000000e+00	0.000000e+00	150.0567	100.00	supra_triple	IPR013087,IPR013087,IPR013087	733
14	IPR017452,IPR000276	SL-9909	0.000000e+00	0.000000e+00	1768.1380	100.00	supra_pair	IPR017452,IPR000276	548
15	IPR000276	SL-0039	0.000000e+00	0.000000e+00	217.1368	100.00	single	-	706
16	IPR017452	SL-9909	0.000000e+00	0.000000e+00	2535.1731	100.00	single	-	722
17	IPR000725	SL-9909	0.000000e+00	0.000000e+00	inf	100.00	single	-	422
18	IPR013087,IPR036236,IPR013087	SL-0191	0.000000e+00	0.000000e+00	231.0000	100.00	supra_triple	IPR013087,IPR036236,IPR013087	695
19	IPR000276,IPR000276	SL-0039	0.000000e+00	0.000000e+00	205.9120	100.00	supra_pair	IPR000276,IPR000276	595
20	IPR000725,IPR000725	SL-9909	0.000000e+00	0.000000e+00	inf	100.00	supra_pair	IPR000725,IPR000725	397
21	IPR013087,IPR013087,IPR036236	SL-0191	0.000000e+00	0.000000e+00	185.7033	100.00	supra_triple	IPR013087,IPR013087,IPR036236	700
22	IPR000276,IPR000725	SL-9909	0.000000e+00	0.000000e+00	inf	100.00	supra_pair	IPR000276,IPR000725	417
23	IPR013087,IPR013087	SL-0191	0.000000e+00	0.000000e+00	116.9468	100.00	supra_pair	IPR013087,IPR013087	749
24	IPR000276,IPR000725,IPR000725	SL-9909	1.571129e-321	1.647981e-315	inf	100.00	supra_triple	IPR000276,IPR000725,IPR000725	392
25	IPR000276,IPR000725,IPR000276	SL-9909	7.802779e-320	7.554882e-314	inf	100.00	supra_triple	IPR000276,IPR000725,IPR000276	390
26	IPR000276,IPR000725,IPR017452	SL-9909	7.802779e-320	7.554882e-314	inf	100.00	supra_triple	IPR000276,IPR000725,IPR017452	390
27	IPR000725,IPR000725,IPR000276	SL-9909	2.719478e-317	2.535558e-311	inf	100.00	supra_triple	IPR000725,IPR000725,IPR000276	387
28	IPR017452,IPR000276,IPR000725	SL-9909	1.778477e-294	1.598976e-288	inf	100.00	supra_triple	IPR017452,IPR000276,IPR000725	360
